date,tem,srd,vpd,wind,dir
7/13/79,302.6934439,318.2833104,3.272700828,2.096689158,263.0022278
7/14/79,304.0531465,319.0916058,3.478459804,1.615086337,276.0020752
7/15/79,303.2898003,287.7398802,3.280693501,2.564983088,247.0002899
7/16/79,303.7253678,313.0731975,3.225721488,1.422587995,247.0002899
7/17/79,303.929231,303.3442192,3.158893452,1.00308649,274.9995728
7/18/79,304.1294875,311.7709914,3.222879716,0.690480693,215.9989319
7/19/79,302.8098211,303.9630387,2.965445083,0.897198217,256.9980774
7/20/79,301.4041657,295.4781102,2.578881086,2.155369351,221.9976044
7/21/79,299.4939097,302.7420374,2.098058537,3.058071295,221.9976044
7/22/79,299.2091766,314.6527287,2.319397794,2.335868735,243.0011749
7/23/79,299.7801079,309.9395959,2.431398681,2.12829648,247.9973297
7/24/79,302.0009257,312.7591554,2.869322317,1.569749936,287.0023804
7/25/79,303.2448485,313.2151306,3.289088225,0.998554174,352.001709
7/26/79,304.2678733,307.8348553,3.403635962,2.104119242,250.0023651
7/27/79,303.3776278,304.7103296,3.147542244,2.64878642,247.0002899
7/28/79,303.3125271,307.534848,3.166308413,2.35127976,243.9982147
7/29/79,301.9174854,307.1308333,2.980497171,2.393569691,241.9986572
7/30/79,302.251415,308.5234097,3.063852737,2.376289152,254.9985199
7/31/79,301.3585341,306.8097668,2.952378936,1.722266059,284.0003052
8/1/79,301.9113733,300.7145748,3.141935071,1.46020151,304.0013733
8/2/79,302.2956025,297.8307051,3.217736043,2.156021427,271.0004578
8/3/79,303.0059128,297.8671758,3.367076548,1.290677422,284.0003052
8/4/79,303.2424101,293.298229,3.370394893,1.022573424,252.9989624
8/5/79,302.5179805,288.0166352,2.86897162,2.11059875,223.9971619
8/6/79,301.4755637,278.0745021,2.443807055,2.188487665,228.0017548
8/7/79,300.2071464,280.6509092,2.221151923,1.91427217,228.9987946
8/8/79,300.3814483,272.6255098,2.202008978,1.586020752,239.0020599
8/9/79,301.5185152,284.9230218,2.663981251,1.591831274,265.00177
8/10/79,301.7377369,269.2011266,2.748509652,1.208789277,293.0010681
8/11/79,302.7276221,271.2775207,2.819125163,1.280012258,276.999115
8/12/79,299.6590275,209.098753,1.913252409,2.662517255,210.0002594
8/13/79,296.6650224,266.7330618,1.468289841,2.49464791,224.9996796
8/14/79,296.2043726,260.2396216,1.555246015,1.840503415,224.9996796
8/15/79,295.0453726,214.8131238,1.222264009,1.61810628,208.9977417
8/16/79,293.1194711,216.6830493,1.021008837,0.775697342,234.0004272
8/17/79,295.1214738,269.5442414,1.456062142,1.22358772,228.0017548
8/18/79,292.6033383,205.6520372,1.17828812,1.810454693,243.9982147
8/19/79,293.0138054,251.7715782,1.330193955,1.819731807,232.9979095
8/20/79,294.822284,268.0524979,1.579761348,1.384783716,237.0025024
8/21/79,296.239073,275.0466216,1.894537902,1.291638746,226.0021973
8/22/79,296.7733101,275.5649809,2.094936439,1.226845322,239.0020599
8/23/79,297.7659406,274.6695374,2.30225865,1.521169796,256.0010376
8/24/79,298.0129843,261.4196806,2.350582308,1.331774881,243.9982147
8/25/79,299.297589,243.773147,2.399321802,1.320223645,243.9982147
8/26/79,300.8379574,256.5365842,2.582460036,0.887184936,215.9989319
8/27/79,299.6531151,263.1124919,2.515417327,1.730087536,221.0005646
8/28/79,298.7264093,264.2058299,2.39224784,2.559665711,226.9992371
8/29/79,298.0942039,263.4798399,2.265617586,2.221420873,217.0014496
8/30/79,298.0707353,260.556976,2.286848679,2.657969204,206.9981842
8/31/79,295.9607402,262.5344167,2.053556411,2.016942634,228.0017548
9/1/79,298.3676757,262.195975,2.432042058,1.965615356,226.9992371
9/2/79,298.538702,254.4735568,2.355547343,1.97587174,230.9983521
9/3/79,299.4541441,257.5652214,2.520520115,1.902214232,234.997467
9/4/79,299.1178726,256.3284948,2.624297501,1.85238081,228.0017548
9/5/79,299.1077581,256.2791423,2.648536695,1.609374833,237.0025024
9/6/79,300.5371278,253.15937,2.816433429,1.338268734,247.0002899
9/7/79,301.5488182,249.7948955,2.945101545,1.11996604,247.0002899
9/8/79,301.7855596,216.1305435,2.839655874,1.19679777,237.0025024
9/9/79,301.9122185,218.4629594,2.795865235,1.176840058,232.0008698
9/10/79,300.6617587,242.3016539,2.565392195,1.082410731,213.9993744
9/11/79,301.0861864,236.9532024,2.626813941,1.022023307,213.0023346
9/12/79,299.2771616,243.0494472,2.424100633,1.659366038,4.002015114
9/13/79,298.4294841,244.7719858,2.504939948,1.395914763,343.9979858
9/14/79,294.4908169,244.5653743,1.911186519,2.43544762,8.001130104
9/15/79,292.2369915,238.2321258,1.545004642,1.767327665,41.99908447
9/16/79,294.3494126,234.7900121,1.649462431,0.652307589,84.00074768
9/17/79,296.8225817,236.0562577,2.137158691,1.142227051,280.0011902
9/18/79,297.0609105,232.3775123,2.189230813,0.749243522,41.00204468
9/19/79,297.1893244,229.2605179,2.100427889,1.260620188,186.0000916
9/20/79,296.9156696,187.8655751,2.025638279,0.986264734,245.0007324
9/21/79,296.1812316,227.3200839,1.929815138,0.566353522,310.0000305
9/22/79,295.9539873,226.1122103,2.001593362,1.535677614,234.997467
9/23/79,296.8901,222.4173283,2.097169279,1.387176732,234.0004272
9/24/79,298.4103749,208.5861563,2.266341976,0.866534592,221.0005646
9/25/79,298.4200256,194.816721,2.253618682,1.67279404,204.9986267
9/26/79,297.0061926,215.7671807,2.06655596,2.022835091,219.9980469
